101 Crawler (0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), 
102 Hopper (9, 0), (7, 0), (5, 0), (3, 0), (1, 0), (0, 0), 
103 Crawler (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (4, 9), 
104 Crawler (0, 9), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), 
105 Crawler (2, 2), (1, 2), (0, 2), (0, 1), (0, 0), (1, 0), 
106 Crawler (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), 
107 Hopper (2, 7), (5, 7), (8, 7), (9, 7), (9, 4), (9, 1), 
108 Hopper (7, 7), (7, 3), (7, 0), (9, 0), (5, 0), (1, 0), 
109 Hopper (4, 4), (4, 2), (4, 0), (2, 0), (0, 0), (2, 0), 
110 Crawler (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 8), 
111 Crawler (4, 5), (3, 5), (2, 5), (1, 5), (0, 5), (0, 6), 
112 Hopper (5, 4), (7, 4), (9, 4), (7, 4), (5, 4), (3, 4), 
